Year,Quarter,Month,Day,Country,Aircraft,Location,Operator,Ground,Aboard,Month_Num,Month_Name,Date,Fatalities_Air,Survived,Survival_Rate,Fatality_Rate,Total_Deaths,Manufacturer,Total_Fatalities,YearMonth
1961,Qtr 4,December,31,Russia,Ilyushin IL 18BCCCP,Near Mineral Waters Russia,Aeroflot,0,119,12,December,1961-12-31,32,87,73.10924369747899,0.2689075630252101,32,Ilyushin,32,1961-12
1960,Qtr 4,December,4,Russia,Ilyushin 14M CCCP 52091,Chernovo Russia,Aeroflot,0,14,12,December,1960-12-04,14,0,0.0,1.0,14,Ilyushin,14,1960-12
1988,Qtr 4,December,7,Russia,Let 410UVPCCCP 67127,Kodinsk Russia,Aeroflot,0,14,12,December,1988-12-07,6,8,57.14285714285714,0.42857142857142855,6,Let,6,1988-12
1955,Qtr 4,December,9,Russia,Li 2CCCP,Khabarovsk Territory Russia,Aeroflot,0,21,12,December,1955-12-09,21,0,0.0,1.0,21,Li,21,1955-12
1951,Qtr 4,December,27,Russia,Lisunov LI 2L4228,Near Namtso Russia,Aeroflot,0,20,12,December,1951-12-27,20,0,0.0,1.0,20,Lisunov,20,1951-12
2016,Qtr 4,December,25,Russia,Tupolev 154B 2RA,Near Adar Russia,Force Air Russian,0,92,12,December,2016-12-25,92,0,0.0,1.0,92,Tupolev,92,2016-12
1966,Qtr 4,December,2,Russia,Tupolev TU 114BCCCP,Moscow Russia,Aeroflot,0,21,12,December,1966-12-02,21,0,0.0,1.0,21,Tupolev,21,1966-12
1984,Qtr 4,December,23,Russia,Tupolev TU 154B,Near Kranoyarsk Russia,Aeroflot,0,111,12,December,1984-12-23,110,1,0.9009009009009009,0.990990990990991,110,Tupolev,110,1984-12
1995,Qtr 4,December,7,Russia,Tupolev TU 154BRA,Near Grossevichi Russia,Aviation East Far,0,98,12,December,1995-12-07,98,0,0.0,1.0,98,Tupolev,98,1995-12
2010,Qtr 4,December,4,Russia,Tupolev TU 154MRA,Moscow Russia,Airlines Dagestan,0,169,12,December,2010-12-04,2,167,98.81656804733728,0.011834319526627219,2,Tupolev,2,2010-12
2012,Qtr 4,December,29,Russia,Tupolev TU 204,Moscow Russia,Airlines Wings Red,0,8,12,December,2012-12-29,5,3,37.5,0.625,5,Tupolev,5,2012-12
1942,Qtr 4,December,12,Russia,Tupolev A.N.T. 20bisSSSR L,Near Tashkent Russia,Aeroflot,0,36,12,December,1942-12-12,36,0,0.0,1.0,36,Tupolev A.N.T.,36,1942-12
1976,Qtr 4,December,17,Russia,Yakovlev 40CCCP 88208,Ust-Kut Russia,Aeroflot,0,7,12,December,1976-12-17,7,0,0.0,1.0,7,Yakovlev,7,1976-12
1987,Qtr 4,December,3,Rwanda,Cessna 404 Titan5Y EJS,Near Kishwati Rwanda,Charters Air Skybird Cooper,0,14,12,December,1987-12-03,14,0,0.0,1.0,14,Cessna 404,14,1987-12
2017,Qtr 4,December,13,Saskatchewan,ATR42 320C,Near Fond-du-Lac Saskatchewan,Aviation Wind West,0,25,12,December,2017-12-13,1,24,96.0,0.04,1,ATR42,1,2017-12
1986,Qtr 4,December,25,Saudi,Boeing B 737,Arar Saudi,Airways ArabiaIraqi,0,106,12,December,1986-12-25,63,43,40.56603773584906,0.5943396226415094,63,Boeing,63,1986-12
2004,Qtr 4,December,11,Saudi,Ilyushin II 76TDER,Near Jeddah Saudi,Transport ArabiaAirline,0,7,12,December,2004-12-11,1,6,85.71428571428571,0.14285714285714285,1,Ilyushin,1,2004-12
1956,Qtr 4,December,31,Saudi,Lockheed C 121C Super Constellation54,Dhahran Saudi,Force Air U.S. - ArabiaMilitary,0,38,12,December,1956-12-31,12,26,68.42105263157895,0.3157894736842105,12,Lockheed,12,1956-12
1988,Qtr 4,December,21,Scotland,Boeing B 747,Lockerbie Scotland,Airways World American Pan,11,259,12,December,1988-12-21,259,0,0.0,1.0,270,Boeing,270,1988-12
1943,Qtr 4,December,17,Scotland,Lockheed 18 56 LodestarG,Off Montrose Scotland,Airways Overseas British,0,10,12,December,1943-12-17,10,0,0.0,1.0,10,Lockheed,10,1943-12
1993,Qtr 4,December,9,Senegal,DHC 6 Twin Otter 300 / NAMC YS,Off Dakar Senegal,Airways Gambia / Senegal Air,0,3,12,December,1993-12-09,3,0,0.0,1.0,3,DHC,3,1993-12
1978,Qtr 4,December,23,Sicily,McDonnell Douglas DC 9,Off Cinisi Sicily,Italy Alitalia,0,129,12,December,1978-12-23,108,21,16.27906976744186,0.8372093023255814,108,McDonnell Douglas,108,1978-12
1954,Qtr 4,December,12,Slovakia,Douglas C 47AOK,Bratislava Slovakia,Aerolinie Ceskoslovenské,0,4,12,December,1954-12-12,4,0,0.0,1.0,4,Douglas,4,1954-12
1974,Qtr 4,December,12,South,Boeing Vertol CH 47 (helicopter)?,Near Moc Hoa South,Force Air Vietnamese - VietnamMilitary,0,54,12,December,1974-12-12,54,0,0.0,1.0,54,Boeing Vertol,54,1974-12
